"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__reply_to_message_id","messages__file","messages__media_type","messages__mime_type","messages__duration_seconds","messages__thumbnail","messages__text__href","messages__forwarded_from","messages__actor","messages__actor_id","messages__action","messages__message_id"
"","","","","","","","","","","","","","bold","— Как не медленно, если по 4 часа люди в очередях стоят?","","","","","","","","","","","",""
"","","","","","","","","","","","","\n\n— А что я могу сделать, если они все сегодня решили проголосовать?\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","— Когда же нужно было приходить, если основной день голосования сегодня?","","","","","","","","","","","",""
"","","","","","","","","","","","","\n\n— Это не ко мне вопросы, понимаете? У нас организовано все, 11 членов избирательной комиссии работают. Работает три кабинки. Стоит человек на входе. Есть еще эпидемиологическая обстановка в городе. Мы не можем в одно помещение набивать людей, чтобы они здесь были. Поэтому они и стоят на улице. Это только из-за этого.\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","— Люди успеют реализовать свое право на голосование?","","","","","","","","","","","",""
"","","","","","","","","","","","","\n\n— Ну не знаю. Выборы начались с 4 августа.","","","","","","","","","","","","","",""
"","","","13800","message","2020-08-09T10:43:44","2020-08-09T10:54:27","Onliner","9598013669","","","","Стало известно о задержании основателя магазина ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","Symbal.by","","","","","","","","","","","",""
"","","","","","","","","","","",""," Павла Белоуса. Сегодня он с семьей выехал, чтобы проголосовать. Сотрудники Воложинского ГАИ остановили мужчину невдалеке от деревни Судники, где находится участок. Белоуса в итоге повезли в Воложинскую ЦРБ, чтобы проверить на наличие алкоголя в крови.","","","","","","","","","","","","","",""
"","","","13801","message","2020-08-09T10:45:08","","Onliner","9598013669","","","","Журналистов «Дождя» задержали в Минске из-за отсутствия аккредитации. Они находятся в Центральном РУВД города, сообщает Baza.","","","13775","","","","","","","","","","",""
"","","","13802","message","2020-08-09T11:18:20","","Onliner","9598013669","","464","848","В центре Минска сейчас так.\n\nДоступа к площади Независимости со стороны Берсона нет. По обе стороны от дороги стоит ОМОН. Всех разворачивают. Вдоль Мясникова почти по всей длине патрулируют милиционеры.","","","","(File not included. Change data exporting settings to download.)","video_file","video/mp4","15","(File not included. Change data exporting settings to download.)","","","","","",""
"","","","13803","message","2020-08-09T11:36:32","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1100","825","","","","13802","","","","","","","","","","",""
"","","","13804","message","2020-08-09T11:36:32","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1100","825","Еще немного фото скопления спецтехники возле Администрации президента.\n\nТакже заграждение появилось около «МакДональдса» на перекрестке Независимости и Комсомольской.\n\nВдоль проспекта через каждые 50 метров стоит ОМОН. Около Дворца профсоюзов появились аккуратно сложенные турникеты — их охраняет ДПС.\n\nНа ключевых перекрестках стоят группы ОМОНа.","","","13802","","","","","","","","","","",""
"","","","13805","message","2020-08-09T11:55:38","2020-08-09T11:56:22","Onliner","9598013669","","","","По данным ЦИК на 18:00, общая ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","явка избирателей в Беларуси составила 79%.","","","","","","","","","","","",""
"","","","","","","","","","","","","\n\n📍Гродненская область — 82\n\n📍Гомельская — 85\n\n📍Могилевская — 86\n\n📍Брестская — 84\n\n📍Минская — 77,9\n\n📍Минск — 62,2\n\n📍 Витебская — 80","","","","","","","","","","","","","",""
"","","","13806","message","2020-08-09T12:01:02","","Onliner","9598013669","","464","848","Очередь в посольство в Москве.","","","","(File not included. Change data exporting settings to download.)","video_file","video/mp4","20","(File not included. Change data exporting settings to download.)","","","","","",""
"","","","13807","message","2020-08-09T12:04:48","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1280","853","Тем временем наш читатель Константин стоит в очереди на участок в школе 32 уже 6,5 часов.","","","13799","","","","","","","","","","",""
"","","","13808","message","2020-08-09T12:22:22","","Onliner","9598013669","","","","На станции метро площадь Ленина не останавливаются поезда.","","","","","","","","","","","","","",""
"","","","13809","message","2020-08-09T12:33:17","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","960","910","Фотофакт. Урна для бюллетеней на 26-м участке в Минске уже переполнена.","","","","","","","","","","","","","",""
"","","","13810","message","2020-08-09T12:38:41","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1276","956","Участок в 32 школе за час до закрытия. Наш читатель Константин, кстати, проголосовал отстояв 7 часов в очереди.","","","13807","","","","","","","","","","",""
