"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__forwarded_from","messages__reply_to_message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__text__href"
"","","","","","","","","","","","","","link","https://news.tut.by/society/696018.html?tg","","","","","","","","","","","","","",""
"","","","9877","message","2020-08-09T07:35:22","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","Светлана Тихановская проголосовала на выборах президента.\n\nПоддержать ее пришло около 200 человек. ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/696013.html?tg","","","","","","","","","","","","","",""
"","","","9879","message","2020-08-09T07:49:01","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","В Минске задержан наблюдатель, еще одного «планируют увезти в РУВД» из больницы.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/696016.html?tg","","","","","","","","","","","","","",""
"","","","9880","message","2020-08-09T08:03:20","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1189","669","Читатели сообщают о проблемах с домашним интернетом от «Белтелеком».\n\n  ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://42.tut.by/696025?tg","","","","","","","","","","","","","",""
"","","","9881","message","2020-08-09T08:09:41","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","На 14.00 явка на выборах президента составила более 65 процентов.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/695965.html?tg","","","","","","","","","","","","","",""
"","","","9882","message","2020-08-09T08:11:15","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","792","704","На участке № 17 объяснили, почему женщина вылезала из окна по лестнице.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/696023.html?tg","","","","","","","","","","","","","",""
"","","","9883","message","2020-08-09T08:21:57","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","803","520","В Беларуси наблюдаются проблемы с доступом к сайтам порталов ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","NN.by","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," и ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","Kyky.org","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," \n\n ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://42.tut.by/696027?tg","","","","","","","","","","","","","",""
"","","","9884","message","2020-08-09T08:37:05","","TUT.BY новости","9668803208","","1280","720","Колонна спецтехники в Минске.","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","84","","","","","","","","",""
