"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__text__type","messages__text__text","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__forwarded_from","messages__photo","messages__width","messages__height","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__reply_to_message_id","messages__edited","messages__text__href","messages__title"
"","","","4545","message","2020-08-11T04:25:19","Работаем с Пушкиным!","9712980906","Ее слова текстом (для тех, у кого видео не грузит).\n\n\nВы знаете, я думала, что вся эта кампания меня очень сильно закалила и придала мне столько сил, что я выдержу всё.\n\nНо, наверное, я так и осталась той слабой женщиной, которой была изначально. Я приняла очень тяжёлое для себя решение. Это решение я приняла абсолютно самостоятельно: ни друзья, ни родные, ни штаб, ни Сергей никоим образом на него просто не могли повлиять.\n\nИ я знаю, что многие меня поймут, многие меня осудят, а многие и возненавидят. Но, знаете, не дай бог оказаться перед таким выбором, перед которым оказалась я.\n\nПоэтому, люди, берегите себя, пожалуйста — ни одна жизнь не стоит того, что сейчас происходит. Дети — это самое важное, что есть в нашей жизни.","","","","","","","","","","","","","","","","","","4544","","",""
"","","","4546","message","2020-08-11T04:29:56","Работаем с Пушкиным!","9712980906","Интересно, а белорусам вернут деньги за все эти дни, что не работает интернет?\n \nУже третий день…","","","","","","","","","","","","","(File not included. Change data exporting settings to download.)","","audio_file","audio/mpeg3","14","","","",""
"","","","4547","message","2020-08-11T04:41:13","Работаем с Пушкиным!","9712980906","","link","TUT.BY","","","","","","","","","","","","","","","","","","",""
"","","","","","","",""," запустил два зеркала портала.\n\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://www.tutby.news","","","","","","","","","","","","","","","","","","",""
"","","","","","","",""," (обязательно с www в начале) — для доступа через VPN и за границей.\n\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","http://news.tutby.online","","","","","","","","","","","","","","","","","","",""
"","","","","","","",""," — для всех желающих\nИх работа тоже нестабильна — но они могут выстоять, когда основной домен недоступен.\n\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Передавайте друзьям. Можете СМСкой.","","","","","","","","","","","","","","","","","","",""
"","","","4548","message","2020-08-11T05:07:20","Работаем с Пушкиным!","9712980906","Просто послушайте…. ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://www.youtube.com/watch?v=DgkDrVj1qIo","","","","","","","","","","","","","","","","","","",""
"","","","4549","message","2020-08-11T05:09:06","Работаем с Пушкиным!","9712980906","[00:00:02] Добрый вечер\n[00:00:10] Закрывайте двери.\nПоговорим за закрытыми дверями\n[00:00:20] Так, здесь только члены комиссии.\n[00:00:29] Я так понимаю все осознают ситуацию.\nИ визит начальника отдела администрации школы сейчас\nпонятен.\nИли кто-то может быть чего то не знает.\nСергей Владимирович там сам что-то напутал.\n[00:00:50] Все.\nЯсно.\nХорошо.\nНу, рассказывайте тогда, как у вас так получилось.\n[00:00:54] Я знаю хорошо не высказывается, тогда как у вас так получилось.\n[00:01:03] Посчитали то, что было.\n[00:01:03] Молодцы.\nВсе считали?\nВсе.\nВсе считали.\n[00:01:10] И по вашему участку такая картина получилась.\nДа\n[00:01:12] Хорошо.\nКак получилось, что комиссия, которая находится этажом\nниже.\n[00:01:22] Вы не интересуетесь.\nВы не общаетесь?\n[00:01:23] Они у себя выбирали, мы у себя.\n[00:01:33] Значит коллеги, давайте так.\n[00:01:37] Значит Я вам скажу, что ваши коллеги посчитали\nЧуть-чуть иначе чем вы.\n[00:01:43] Так же честно и принципиально рассматривали каждую страничку.\nЗначит у них предварительным подсчетам за третьего кандидата\nгде-то порядка 75 процентов.\n[00:01:56] За то, что у вас тут очень много где-то порядка\nпятнадцати.\n[00:02:04] Это в принципе отражает общую картину, которая складывается\nпо октябрьскому району.\n[00:02:11] Поэтому мне не хочется, чтобы вы были единственными\nкто каким-то образом непонятно чем руководствуется - там\nздравым смыслом, чувством гордости ответственности\nи так далее выбился из общей массы. ну я скажу я в принципе\nтоже довольно пожилой человек. еще с Виктором Цоем даже\nсовременником был и Элвиса Пресли застал.\n[00:02:44] Умер позже того, как я родился.\nВсе эти песни и Скорпионз я очень хорошо знаю, но не\nта ситуация чтобы ........\n[00:03:00] Поэтому у меня есть к вам очень жесткое предложение\nизменять протокол.\n[00:03:07] И менять кардинально цифры между третьим и четвертым\nкандидатом.\nГотов согласиться с тем, что за Тихановскую достаточное\nколичество людей проголосовало.\nНе буду объяснять причины и даже фантазировать.\nКто-то по велению сердца, кто-то мог кто-то кошельком\nголосовал. это их проблемы.\nВот, но у нас есть другие задачи и другие проблемы\nкоторые нам нужно решать.\nВам сегодня, потом еще с первого числа.\nА потом мне к дню учителя готовится и так далее.\n[00:03:46] Доходчиво объясняю?\nОчень.\n[00:03:52] Вот давай, решаем этот вопрос.\nЧтобы мы не выбивали здесь в микрорайоне, чтобы завтра\nмы не пошли двор на двор как в детстве мы ходили\nдеревня на деревню.\n[00:04:09] Давайте в унисон будем решать вопрос.\n[00:04:16] Сергей Викторович, если комиссия подписывает\nя один могу не подписывать?\nНет.\nНе надо мне ваше особое мнение. я услышал я его\nучту\n[00:04:31] Все мы принципиальные люди до определенной степени\nкогда речь идет о нашем будущем. Хочется,чтобы\nоно было хотя бы чуть-чуть светлое. тогда почему нашими\nруками надо делать...\n[00:04:51] Давайте вообще говорить если вообще говорить.\n[00:04:59] В принципе должно быть больше у нас всех вместе\nвзятых. потому что я человек не витебский. я приехал\nсюда из Минска. живу здесь и работаю уже двенадцатый\nгод и намеревались здесь поработать еще какое то\nвремя и уехать обратно в столице, а может быть и\nне в столицу. может быть в какой-то другой регион.\nно сегодня я здесь и мне хочется, чтобы после того\nкак я уеду отсюда ....... о нас вспоминали хорошими\nсловом, ну чуть-чуть плохим и чуть- чуть ........\n[00:05:38] Поэтому я еще раз говорю, сегодня не та ситуация\nкогда надо проявлять принципиальность. Коллеги, но я еще раз говорю,\nвы молодцы, вы коллектив. вы высказали свою позицию.\nвы я за это вас уважаю, но сегодня надо сделать по\nдругому.\n[00:05:56] Почему я рассказываю. потому что избиратели должны\nсмотреть правде в. в глаза смотреть.\n[00:06:10] Как родителям в глаза смотреть.\nЭто наши ученики. на избирательный. участок. с. вопросом где\nнужно туда реагировать. это тот избиратель который.\n[00:06:29] На прошлых выборах поднялся на участок. и в\nглаза всем, кто там сидел обвинял учителей в томкакое право они имеют после этого учить детей .....................\n[00:07:00] Я тоже видел эти урны с гармошками.","","","","","","","","","","","","","","","","","","4548","","",""
"","","","4550","message","2020-08-11T05:09:07","Работаем с Пушкиным!","9712980906","Не только у вас. И белые манжетики у людей.\nВы думаете я просидел в кабинете четыре дня...\nНет\n[00:07:07] Досрочным голосованием Лукашенко больше.\nДа.\nЗа сегодняшний день то, что мы видим.\n[00:07:16] Я еще раз говорю я услышал ваше особое мнение\nэтого достаточно.\n[00:07:22] Поэтому достаточно.\n[00:07:25] Но поверьте если его услышит кто-то еще,\nто я\nне готов в принципе прогнозировать развитие событий.\n[00:07:40] Давайте. есть еще бланки протокола?\n[00:07:43] Меняйте пункт четвертый и поехали обратно\n[00:07:54] Кто заполнял.\n[00:08:01] Объявили в розыск.\n[00:08:14] Переписывай\n[00:08:35] Вы хоть чай попили?.\n[00:08:47] В процессе.\n[далее без тайм кодов]\n- Быстро пишем! Только это неправильно, у первого надо отнять\n- Поменяли ж\n- Неправильно поменяли, у одного надо добавить, у одного убрать. Значит, у первого убирайте минимум 10, у последнего убирайте 30. У той что у вас лучше всех оставьте максимально 20%, это будет где-то 240 с чем-то, остальное все пишите…Оборотную сторону дайте, что против всех? Тут неправильно. Вот эта цифра состоит из этой одной, из этой одной. Значит давайте еще раз, я ваше особое мнение услышал, мне его не надо формализовать на бумаге. Кто принципиально не хочет подписывать этот документ, все равно нужно чтобы осталось 2/3 комиссии. Значит 2/3 остаемся, а остальные могут почувствовать себя очень плохо и покинуть помещение. Тогда в протоколе будет стоять «хворы» и подписи ставить ненужно будет.\n- Я себя чувствую плохо,я  могу уйти?\n- Да, пожалуйста. Преподаватель математики здесь у вас есть?\n- А вы спите спокойно?","","","","","","","","","","","","","","","","","","4548","","",""
"","","","4551","message","2020-08-11T05:25:03","Работаем с Пушкиным!","9712980906","Минск после протестов.\n\nФото: ","","","","","","","","","","(File not included. Change data exporting settings to download.)","1280","853","","","","","","","","",""
"","","","","","","","","","link","onliner.by","","","","","","","","","","","","","","","","","","",""
"","","","4552","message","2020-08-11T05:25:03","Работаем с Пушкиным!","9712980906","","","","","","","","","","","(File not included. Change data exporting settings to download.)","1100","733","","","","","","","","",""
"","","","4553","message","2020-08-11T05:25:03","Работаем с Пушкиным!","9712980906","","","","","","","","","","","(File not included. Change data exporting settings to download.)","1100","733","","","","","","","","",""
"","","","4554","message","2020-08-11T05:25:04","Работаем с Пушкиным!","9712980906","","","","","","","","","","","(File not included. Change data exporting settings to download.)","1100","733","","","","","","","","",""
"","","","4555","message","2020-08-11T05:25:04","Работаем с Пушкиным!","9712980906","","","","","","","","","","","(File not included. Change data exporting settings to download.)","1100","733","","","","","","","","",""
"","","","4556","message","2020-08-11T05:25:04","Работаем с Пушкиным!","9712980906","","","","","","","","","","","(File not included. Change data exporting settings to download.)","1100","733","","","","","","","","",""
"","","","4557","message","2020-08-11T05:43:10","Работаем с Пушкиным!","9712980906","ПОЛЬЗОВАТЕЛИ IPHONE, МАКСИМАЛЬНЫЙ РЕПОСТ!\n\nПри помощи этой инструкции можно скачать приложение Psiphon на iPhone (с ним работает VPN) из \nApple Store.\n\nПроверил только что лично сам — скачалось!\n\nГлавное подключиться к Wi-Fi.","","","","","","","","","","(File not included. Change data exporting settings to download.)","591","1280","","","","","","","","",""
"","","","4558","message","2020-08-11T06:29:49","Работаем с Пушкиным!","9712980906","","bold","МВД: прошлой ночью задержано более двух тысяч человек","","","","","","","TUT.BY новости","","","","","","","","","","","",""
"","","","","","","","",", ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","пострадал 21 сотрудник","","","","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","органов\n\n","","","","","","","","","","","","","","","","","","",""
